importId;name;code;workshopStockLocation_name;company_code;statusSelect;product_code
;PP 1061B-11 SENOS LIBRES BRA 3XS BEIGE;PP-1061B-11;Main Workshop;BASE;3;1061B-11
;PP 1061B-12 SENOS LIBRES BRA 2XS BEIGE;PP-1061B-12;Main Workshop;BASE;3;1061B-12
;PP 1061B-13 SENOS LIBRES BRA XS BEIGE;PP-1061B-13;Main Workshop;BASE;3;1061B-13
;PP 1061B-14 SENOS LIBRES BRA S BEIGE;PP-1061B-14;Main Workshop;BASE;3;1061B-14
;PP 1061B-15 SENOS LIBRES BRA M BEIGE;PP-1061B-15;Main Workshop;BASE;3;1061B-15
;PP 1061B-16 SENOS LIBRES BRA L BEIGE;PP-1061B-16;Main Workshop;BASE;3;1061B-16
;PP 1061B-17 SENOS LIBRES BRA XL BEIGE;PP-1061B-17;Main Workshop;BASE;3;1061B-17
;PP 1061B-18 SENOS LIBRES BRA 2XL BEIGE;PP-1061B-18;Main Workshop;BASE;3;1061B-18
;PP 1061B-19 SENOS LIBRES BRA 3XL BEIGE;PP-1061B-19;Main Workshop;BASE;3;1061B-19
;PP 1061B-20 SENOS LIBRES BRA 4XL BEIGE;PP-1061B-20;Main Workshop;BASE;3;1061B-20
;PP 1061B-21 SENOS LIBRES BRA 5XL BEIGE;PP-1061B-21;Main Workshop;BASE;3;1061B-21
;PP 5054B-1 LUXURY 2XS NEGRO;PP-5054B-1;Main Workshop;BASE;3;5054B-1
;PP 5054B-2 LUXURY XS NEGRO;PP-5054B-2;Main Workshop;BASE;3;5054B-2
;PP 5054B-3 LUXURY S NEGRO;PP-5054B-3;Main Workshop;BASE;3;5054B-3
;PP 5054B-4 LUXURY M NEGRO;PP-5054B-4;Main Workshop;BASE;3;5054B-4
;PP 5054B-5 LUXURY L NEGRO;PP-5054B-5;Main Workshop;BASE;3;5054B-5
;PP 5054B-6 LUXURY XL NEGRO;PP-5054B-6;Main Workshop;BASE;3;5054B-6
;PP 5054B-7 LUXURY 2XL NEGRO;PP-5054B-7;Main Workshop;BASE;3;5054B-7
;PP 5054B-8 LUXURY 3XL NEGRO;PP-5054B-8;Main Workshop;BASE;3;5054B-8
;PP 5054B-9 LUXURY 4XL NEGRO;PP-5054B-9;Main Workshop;BASE;3;5054B-9
;PP 5054B-10 LUXURY 5XL NEGRO;PP-5054B-10;Main Workshop;BASE;3;5054B-10
;PP 5054B-11 LUXURY 2XS BEIGE;PP-5054B-11;Main Workshop;BASE;3;5054B-11
;PP 5054B-12 LUXURY XS BEIGE;PP-5054B-12;Main Workshop;BASE;3;5054B-12
;PP 5054B-13 LUXURY S BEIGE;PP-5054B-13;Main Workshop;BASE;3;5054B-13
;PP 5054B-14 LUXURY M BEIGE;PP-5054B-14;Main Workshop;BASE;3;5054B-14
;PP 5054B-15 LUXURY L BEIGE;PP-5054B-15;Main Workshop;BASE;3;5054B-15
;PP 5054B-16 LUXURY XL BEIGE;PP-5054B-16;Main Workshop;BASE;3;5054B-16
;PP 5054B-17 LUXURY 2XL BEIGE;PP-5054B-17;Main Workshop;BASE;3;5054B-17
;PP 5054B-18 LUXURY 3XL BEIGE;PP-5054B-18;Main Workshop;BASE;3;5054B-18
;PP 5054B-19 LUXURY 4XL BEIGE;PP-5054B-19;Main Workshop;BASE;3;5054B-19
;PP 5054B-20 LUXURY 5XL BEIGE;PP-5054B-20;Main Workshop;BASE;3;5054B-20
;PP 1565-1 MAGIC STRAPLES 2XS NEGRO;PP-1565-1;Main Workshop;BASE;3;1565-1
;PP 1565-2 MAGIC STRAPLES XS NEGRO;PP-1565-2;Main Workshop;BASE;3;1565-2
;PP 1565-3 MAGIC STRAPLES S NEGRO;PP-1565-3;Main Workshop;BASE;3;1565-3
;PP 1565-4 MAGIC STRAPLES M NEGRO;PP-1565-4;Main Workshop;BASE;3;1565-4
;PP 1565-5 MAGIC STRAPLES L NEGRO;PP-1565-5;Main Workshop;BASE;3;1565-5
;PP 1565-6 MAGIC STRAPLES XL NEGRO;PP-1565-6;Main Workshop;BASE;3;1565-6
;PP 1565-7 MAGIC STRAPLES 2XL NEGRO;PP-1565-7;Main Workshop;BASE;3;1565-7
;PP 1565-8 MAGIC STRAPLES 3XL NEGRO;PP-1565-8;Main Workshop;BASE;3;1565-8
;PP 1565-9 MAGIC STRAPLES 4XL NEGRO;PP-1565-9;Main Workshop;BASE;3;1565-9
;PP 1565-10 MAGIC STRAPLES 5XL NEGRO;PP-1565-10;Main Workshop;BASE;3;1565-10
;PP 1565-11 MAGIC STRAPLES 2XS BEIGE;PP-1565-11;Main Workshop;BASE;3;1565-11
;PP 1565-12 MAGIC STRAPLES XS BEIGE;PP-1565-12;Main Workshop;BASE;3;1565-12
;PP 1565-13 MAGIC STRAPLES S BEIGE;PP-1565-13;Main Workshop;BASE;3;1565-13
;PP 1565-14 MAGIC STRAPLES M BEIGE;PP-1565-14;Main Workshop;BASE;3;1565-14
;PP 1565-15 MAGIC STRAPLES L BEIGE;PP-1565-15;Main Workshop;BASE;3;1565-15
;PP 1565-16 MAGIC STRAPLES XL BEIGE;PP-1565-16;Main Workshop;BASE;3;1565-16
;PP 1565-17 MAGIC STRAPLES 2XL BEIGE;PP-1565-17;Main Workshop;BASE;3;1565-17
;PP 1565-18 MAGIC STRAPLES 3XL BEIGE;PP-1565-18;Main Workshop;BASE;3;1565-18
;PP 1565-19 MAGIC STRAPLES 4XL BEIGE;PP-1565-19;Main Workshop;BASE;3;1565-19
;PP 1565-20 MAGIC STRAPLES 5XL BEIGE;PP-1565-20;Main Workshop;BASE;3;1565-20
;PP FP1567-1 MAGIC STRAPLES 2XS NEGRO;PP-FP1567-1;Main Workshop;BASE;3;FP1567-1
;PP FP1567-2 MAGIC STRAPLES XS NEGRO;PP-FP1567-2;Main Workshop;BASE;3;FP1567-2
;PP FP1567-3 MAGIC STRAPLES S NEGRO;PP-FP1567-3;Main Workshop;BASE;3;FP1567-3
;PP FP1567-4 MAGIC STRAPLES M NEGRO;PP-FP1567-4;Main Workshop;BASE;3;FP1567-4
;PP FP1567-5 MAGIC STRAPLES L NEGRO;PP-FP1567-5;Main Workshop;BASE;3;FP1567-5
;PP FP1567-6 MAGIC STRAPLES XL NEGRO;PP-FP1567-6;Main Workshop;BASE;3;FP1567-6
;PP FP1567-7 MAGIC STRAPLES 2XL NEGRO;PP-FP1567-7;Main Workshop;BASE;3;FP1567-7
;PP FP1567-8 MAGIC STRAPLES 3XL NEGRO;PP-FP1567-8;Main Workshop;BASE;3;FP1567-8
;PP FP1567-9 MAGIC STRAPLES 4XL NEGRO;PP-FP1567-9;Main Workshop;BASE;3;FP1567-9
;PP FP1567-10 MAGIC STRAPLES 5XL NEGRO;PP-FP1567-10;Main Workshop;BASE;3;FP1567-10
;PP 1097-1 SHAKIRA 2XS NEGRO;PP-1097-1;Main Workshop;BASE;3;1097-1
;PP 1097-2 SHAKIRA XS NEGRO;PP-1097-2;Main Workshop;BASE;3;1097-2
;PP 1097-3 SHAKIRA S NEGRO;PP-1097-3;Main Workshop;BASE;3;1097-3
;PP 1097-4 SHAKIRA M NEGRO;PP-1097-4;Main Workshop;BASE;3;1097-4
;PP 1097-5 SHAKIRA L NEGRO;PP-1097-5;Main Workshop;BASE;3;1097-5
;PP 1097-6 SHAKIRA XL NEGRO;PP-1097-6;Main Workshop;BASE;3;1097-6
;PP 1097-7 SHAKIRA 2XL NEGRO;PP-1097-7;Main Workshop;BASE;3;1097-7
;PP 1097-8 SHAKIRA 3XL NEGRO;PP-1097-8;Main Workshop;BASE;3;1097-8
;PP 1097-9 SHAKIRA 4XL NEGRO;PP-1097-9;Main Workshop;BASE;3;1097-9
;PP 1097-10 SHAKIRA 5XL NEGRO;PP-1097-10;Main Workshop;BASE;3;1097-10
;PP 1097-11 SHAKIRA 2XS BEIGE;PP-1097-11;Main Workshop;BASE;3;1097-11
;PP 1097-12 SHAKIRA XS BEIGE;PP-1097-12;Main Workshop;BASE;3;1097-12
;PP 1097-13 SHAKIRA S BEIGE;PP-1097-13;Main Workshop;BASE;3;1097-13
;PP 1097-14 SHAKIRA M BEIGE;PP-1097-14;Main Workshop;BASE;3;1097-14
;PP 1097-15 SHAKIRA L BEIGE;PP-1097-15;Main Workshop;BASE;3;1097-15
;PP 1097-16 SHAKIRA XL BEIGE;PP-1097-16;Main Workshop;BASE;3;1097-16
;PP 1097-17 SHAKIRA 2XL BEIGE;PP-1097-17;Main Workshop;BASE;3;1097-17
;PP 1097-18 SHAKIRA 3XL BEIGE;PP-1097-18;Main Workshop;BASE;3;1097-18
;PP 1097-19 SHAKIRA 4XL BEIGE;PP-1097-19;Main Workshop;BASE;3;1097-19
;PP 1097-20 SHAKIRA 5XL BEIGE;PP-1097-20;Main Workshop;BASE;3;1097-20
;PP 7012-1 MADONNA 2XS NEGRO;PP-7012-1;Main Workshop;BASE;3;7012-1
;PP 7012-2 MADONNA XS NEGRO;PP-7012-2;Main Workshop;BASE;3;7012-2
;PP 7012-3 MADONNA S NEGRO;PP-7012-3;Main Workshop;BASE;3;7012-3
;PP 7012-4 MADONNA M NEGRO;PP-7012-4;Main Workshop;BASE;3;7012-4
;PP 7012-5 MADONNA L NEGRO;PP-7012-5;Main Workshop;BASE;3;7012-5
;PP 7012-6 MADONNA XL NEGRO;PP-7012-6;Main Workshop;BASE;3;7012-6
;PP 7012-7 MADONNA 2XL NEGRO;PP-7012-7;Main Workshop;BASE;3;7012-7
;PP 7012-8 MADONNA 3XL NEGRO;PP-7012-8;Main Workshop;BASE;3;7012-8
